SEX,AGE,EDUCATION,INCOME,ACTIVITY,CHURN,NEGTWEETS,STATE
F,48,4,46709,4,0,4,NY
F,33,4,46522,2,0,2,DE
M,52,2,46388,1,0,4,MI
M,50,2,46362,2,0,2,OH
M,53,2,46359,0,0,3,VT
M,60,2,46329,1,1,8,ND
F,77,4,46322,0,0,2,DC
M,54,4,46271,2,0,2,MN
F,20,4,46045,4,0,3,RI
F,58,4,46041,3,0,3,VA
M,63,4,46041,0,1,12,OR
F,68,4,46019,0,0,3,FL
F,41,2,45899,1,1,12,OR
F,21,4,45850,1,1,10,PA
M,57,4,45846,2,0,2,NV
M,56,4,45806,1,0,4,WV
F,56,4,45724,2,0,5,RI
F,44,4,45623,0,1,10,WA
F,35,4,45539,0,1,9,MD
F,40,4,45526,1,0,2,KY
F,68,4,45510,1,0,4,DE
F,67,2,45470,4,0,1,MT
F,42,4,45292,4,0,4,IN
M,65,4,45104,2,0,4,IL
M,32,4,45078,0,1,14,PA
F,39,4,44981,2,1,9,CA
F,42,2,44946,0,1,11,PA
M,35,2,44888,1,1,9,ID
F,40,4,44792,4,0,4,IN
F,68,4,44768,1,0,5,MT
F,21,2,44561,0,1,9,MD
F,52,4,44542,1,0,4,KS
F,66,4,44445,2,0,2,DC
M,66,4,44395,2,0,3,NJ
M,70,4,44346,2,0,1,TN
M,56,2,44296,2,0,3,CA
M,40,4,44245,2,0,2,KY
M,24,4,44122,3,0,3,NM
F,69,4,43960,3,0,1,TN
M,28,4,43957,1,1,14,ID
M,20,2,43853,2,1,9,MI
F,45,2,43830,3,0,2,SD
M,46,2,43815,2,1,15,MI
F,35,2,43780,4,0,3,PA
M,22,2,43691,2,0,3,CO
M,24,4,43626,2,0,4,NM
F,46,4,43549,2,0,2,CA
M,28,2,43544,2,0,4,NJ
F,25,4,43374,4,0,3,OH
M,57,2,43342,1,1,10,PA
F,59,4,43287,3,0,2,ND
F,43,4,43193,2,0,3,WV
M,42,2,43115,2,0,2,ND
F,44,4,43014,0,1,8,OR
M,30,4,42901,0,1,10,CA
F,85,4,42807,2,0,2,AK
F,26,2,42806,2,0,5,IN
M,26,2,42644,2,0,4,CA
F,69,2,42569,5,0,3,AR
F,25,4,42496,1,1,16,OR
M,57,4,42402,4,0,5,VT
M,77,2,42232,2,0,3,PA
M,25,2,42076,3,0,3,ID
F,38,2,42052,4,0,3,NJ
F,41,2,42029,2,0,1,KY
M,71,4,41936,1,0,3,OH
M,59,4,41871,1,0,3,ND
F,49,4,41861,2,0,4,ND
M,32,2,41849,4,0,5,TN
M,62,2,41761,2,0,4,KY
F,51,4,41740,0,1,12,ID
M,38,2,41429,2,0,2,WY
M,89,2,41426,1,1,13,WA
F,31,4,41393,2,1,13,CA
F,49,2,41371,2,0,2,IA
M,39,4,41241,2,0,3,LA
M,43,4,41202,5,0,4,ND
M,55,2,41177,0,0,4,CA
F,41,4,41145,1,1,13,MI
F,29,4,41120,0,1,11,OR
M,38,4,41111,5,0,2,KS
F,39,4,41042,1,0,3,MA
F,55,4,41022,2,0,4,DE
F,55,4,40912,1,0,2,MS
M,61,4,40868,1,1,11,MI
M,61,2,40797,3,0,4,NC
F,61,4,40792,2,0,3,CA
F,29,4,40603,0,1,13,MI
F,57,2,40597,3,0,4,AR
M,43,4,40545,2,0,3,NH
M,23,2,40456,4,0,2,TX
F,33,4,40430,5,0,3,MN
M,25,4,40279,4,0,1,NE
M,45,4,40278,5,0,2,PA
F,70,2,40160,2,0,2,SC
F,44,4,40026,3,0,4,FL
M,54,4,39979,1,1,8,OR
F,61,2,39935,4,0,4,GA
M,61,4,39916,2,0,4,IA
F,25,4,39828,1,1,10,WA
F,22,4,39703,2,1,12,ND
F,23,4,39647,4,0,2,OR
M,47,4,39614,3,0,4,ME
F,48,4,39544,3,0,3,WA
F,53,4,39532,0,0,4,KY
F,33,2,39512,2,0,2,IL
M,25,2,39470,3,0,3,NC
M,28,4,39438,2,0,2,KY
F,52,4,39371,5,0,3,MT
M,36,2,39325,2,0,2,ID
F,57,2,39250,3,0,3,NY
F,41,4,39200,2,0,4,ND
M,38,2,39175,2,0,3,UT
M,34,4,39161,2,0,4,WV
M,79,4,39151,4,0,3,MI
M,61,4,39015,4,0,4,NY
M,48,4,38743,1,0,4,MN
M,59,2,38725,1,0,5,ID
F,40,2,38682,4,0,3,CA
F,45,4,38625,2,0,3,CA
M,55,4,38507,2,0,3,NV
M,26,2,38455,4,0,2,NH
F,83,4,38450,2,0,3,FL
F,55,4,38425,2,0,2,ID
F,72,4,38423,2,0,4,IL
M,49,4,38336,3,1,15,ID
F,24,2,38325,1,1,13,OR
F,68,4,38324,0,1,11,ID
F,35,4,38259,0,1,8,OR
M,65,4,38245,4,0,2,MT
F,50,2,38205,3,0,1,MA
F,41,4,38182,4,0,4,CA
F,40,4,38121,1,1,12,MD
M,78,2,38083,3,0,3,MA
M,34,4,38005,0,1,7,ND
F,40,4,38004,0,1,11,OR
F,56,4,37999,3,0,3,AK
F,59,1,37994,1,1,10,MD
F,50,2,37992,2,0,3,NH
M,53,1,37975,2,0,4,OR
F,26,4,37918,0,1,11,PA
F,46,4,37895,5,0,4,TX
M,61,1,37894,1,0,3,AR
M,55,4,37892,0,0,1,ND
F,43,1,37882,3,0,3,MA
F,24,4,37871,2,1,8,MI
F,35,1,37866,3,0,3,MA
M,23,1,37837,1,0,3,KS
M,54,1,37818,1,0,1,KS
M,58,1,37812,1,0,2,VT
M,56,4,37785,2,0,4,IL
M,82,4,37758,1,0,5,KS
F,82,1,37756,3,0,4,IN
M,65,1,37755,3,0,3,MS
M,44,1,37755,4,0,3,OR
F,30,1,37755,4,0,1,WA
M,36,1,37747,1,1,14,PA
M,86,1,37668,1,1,12,CA
F,34,4,37659,3,0,4,SD
F,64,4,37621,5,0,2,WA
M,59,4,37609,2,0,3,AR
M,50,4,37571,2,1,8,WA
M,30,4,37568,1,1,11,ND
F,63,1,37561,1,1,11,CA
F,64,1,37530,0,1,8,OR
F,43,4,37507,1,1,10,OR
M,30,1,37498,1,0,5,WI
M,39,1,37486,2,0,2,WY
F,38,1,37476,4,0,3,VA
M,69,1,37425,1,1,15,MI
M,28,4,37417,2,1,13,OR
F,66,1,37410,1,1,9,MI
M,64,1,37409,1,0,3,MD
F,43,4,37397,3,1,11,CA
M,65,1,37393,2,0,3,IL
M,31,4,37393,2,1,11,OR
F,43,1,37387,2,0,2,WI
M,70,1,37386,2,0,2,IA
F,44,1,37371,3,0,3,MS
F,42,1,37338,0,1,16,ND
F,49,2,37336,2,0,3,MT
F,42,4,37327,3,0,3,KY
M,20,1,37326,1,1,10,OR
F,23,1,37320,2,1,5,ND
F,47,1,37316,1,1,6,ND
F,48,1,37313,0,1,12,MI
F,62,1,37267,1,1,11,WA
M,34,1,37209,2,0,3,DC
M,32,1,37165,2,0,2,IN
F,71,4,37163,3,0,4,OK
F,89,1,37158,4,0,2,IL
F,51,1,37151,0,0,2,MT
F,46,4,37144,1,0,4,ID
F,44,1,37143,3,0,3,WA
M,38,1,37132,1,1,13,ID
M,32,1,37121,1,1,9,CA
F,29,1,37120,2,1,6,WA
M,30,2,37102,0,1,11,ND
M,42,1,37092,1,0,4,FL
F,54,1,37079,1,0,5,ID
M,24,1,37055,5,0,3,GA
M,53,4,37037,2,0,3,MO
M,31,1,37023,1,1,12,OR
F,35,1,37022,2,0,4,WI
F,81,1,37004,3,0,2,MI
F,41,1,37001,4,0,3,FL
M,57,2,36951,3,0,0,RI
F,61,4,36906,4,0,5,WI
F,51,1,36902,3,0,4,MN
M,30,2,36901,0,1,9,ID
F,72,4,36899,2,0,2,IA
M,21,1,36888,1,0,4,AK
M,61,1,36874,3,0,1,ME
M,53,1,36848,5,0,4,NH
F,68,4,36847,2,0,2,WV
M,63,1,36840,4,0,2,KY
M,71,4,36828,4,0,2,GA
M,62,4,36823,5,0,3,CA
M,33,1,36818,5,0,2,AK
M,74,1,36814,2,1,12,OR
F,55,4,36814,2,0,3,MD
M,50,4,36812,0,0,2,NY
M,62,4,36803,1,0,2,WY
M,57,1,36777,2,0,1,OH
F,30,1,36766,2,1,9,CA
F,42,4,36757,4,0,3,ND
F,52,1,36755,2,0,1,DE
F,84,1,36751,3,0,1,VT
M,23,1,36744,5,0,4,MS
M,38,4,36736,1,1,9,MD
M,47,4,36730,3,0,4,VT
F,24,4,36712,3,1,7,MD
F,85,1,36706,1,0,2,IN
M,26,1,36687,1,0,4,MI
M,49,1,36682,2,0,4,WI
M,71,1,36642,5,0,4,MA
M,27,1,36626,1,1,15,OR
F,50,1,36624,5,0,2,WV
M,54,4,36623,1,1,17,ND
F,34,4,36611,2,0,4,MO
M,73,1,36576,1,1,9,WA
M,35,1,36552,1,0,3,MA
M,55,2,36522,5,0,3,WV
M,69,4,36513,4,0,3,KY
M,48,1,36508,2,0,3,CO
F,65,1,36498,1,0,4,WV
M,58,4,36493,1,1,9,CA
F,62,1,36491,2,0,4,ME
M,62,4,36470,3,0,3,RI
F,43,4,36466,4,0,3,WY
M,39,4,36446,2,1,9,PA
F,30,1,36413,2,1,8,MD
F,61,1,36412,4,0,3,OK
M,67,4,36385,2,0,3,OH
M,49,4,36355,1,0,5,NC
F,40,4,36345,1,0,3,NY
F,60,4,36322,0,1,15,MI
M,55,4,36303,2,0,5,GA
F,67,4,36292,2,0,3,LA
M,40,1,36286,2,0,3,FL
F,35,4,36256,2,0,3,GA
F,45,4,36185,2,0,3,NM
F,54,4,36169,5,0,3,PA
M,48,1,36165,2,1,8,ND
M,48,4,36125,3,0,2,IA
M,61,1,36125,0,1,9,CA
M,54,1,36090,1,0,2,LA
M,43,1,36088,4,0,4,ID
M,34,1,36085,2,0,4,MT
M,41,1,36076,2,0,3,NJ
M,46,1,36060,5,0,1,IL
F,48,4,36056,1,0,3,WY
F,25,1,36055,1,0,3,KS
M,37,4,36023,2,0,2,KY
M,26,4,36018,0,1,10,OR
M,25,1,36017,4,0,3,LA
F,58,4,36015,4,0,3,MT
F,32,1,36014,4,0,3,TX
M,55,2,36011,2,0,3,NC
F,65,1,36002,3,0,3,DE
M,71,4,35991,2,0,3,ME
M,62,2,35982,4,0,2,AZ
F,55,4,35971,4,0,4,MO
F,73,1,35946,1,0,2,OK
M,58,1,35938,2,0,2,WA
F,35,4,35934,3,0,3,PA
F,38,1,35934,0,1,16,MD
M,65,4,35917,0,0,3,NE
F,76,4,35893,1,1,7,OR
M,22,1,35881,4,0,2,IL
F,34,4,35873,3,0,2,OH
M,27,1,35870,1,1,7,OR
M,21,1,35854,2,1,16,CA
F,57,1,35827,2,0,3,MO
F,60,1,35823,1,1,7,WA
M,36,1,35816,0,1,6,MD
M,59,4,35776,2,0,2,WA
M,47,1,35761,3,0,1,IN
F,74,2,35735,2,0,3,AR
M,59,1,35722,2,0,2,MO
F,48,4,35706,1,1,7,ID
F,31,4,35682,1,1,11,OR
M,51,4,35682,2,0,2,ND
F,74,1,35637,1,0,3,DE
F,70,1,35633,3,0,3,MT
M,28,1,35624,1,1,11,CA
F,48,4,35599,2,0,2,SD
M,30,1,35599,4,0,3,UT
F,35,2,35595,0,1,9,CA
M,54,4,35582,2,0,4,OK
M,36,4,35558,4,0,2,AR
M,71,4,35542,3,0,4,MN
M,47,4,35527,2,0,5,IA
F,45,1,35526,1,1,17,ND
M,29,1,35520,1,1,14,PA
M,37,1,35519,2,0,3,MN
M,44,2,35509,3,0,2,NV
F,64,4,35505,4,0,3,SC
F,77,1,35499,5,0,2,AZ
F,63,4,35461,2,0,5,NH
F,46,1,35457,4,0,2,NJ
M,21,1,35438,4,0,3,IA
M,52,1,35432,5,1,11,MI
M,20,1,35429,2,0,3,AL
F,23,1,35414,1,1,10,CA
F,32,4,35413,3,0,3,TN
F,46,4,35395,1,1,7,MD
F,41,1,35387,1,0,3,IL
M,34,1,35367,4,0,3,WY
M,44,1,35363,2,0,2,AK
M,49,4,35354,2,0,2,KS
F,53,4,35350,1,0,0,LA
F,42,1,35327,2,1,7,WA
M,51,4,35327,0,1,12,WA
M,42,4,35320,3,0,1,VT
F,46,2,35297,2,0,3,NH
F,45,4,35287,1,0,2,RI
M,75,2,35266,0,0,1,UT
M,55,4,35247,3,0,4,FL
F,44,1,35169,0,0,3,CT
M,30,1,35166,3,1,10,ID
F,27,1,35146,2,0,3,FL
F,58,1,35141,4,0,2,TX
F,57,4,35085,3,0,5,AK
F,23,1,35057,2,1,5,MD
M,22,1,35014,2,1,11,OR
F,21,1,35012,2,0,2,MO
M,67,1,35003,2,0,2,AL
M,85,1,34994,1,0,3,VT
M,26,1,34981,2,1,11,WA
F,55,4,34969,1,0,3,NJ
M,38,1,34927,2,0,4,NV
M,36,1,34914,2,1,11,MD
M,20,4,34906,2,1,12,OR
M,38,1,34895,5,0,3,IA
F,56,1,34869,2,0,4,TX
F,50,1,34859,2,0,2,PA
F,39,4,34847,0,1,10,MI
M,27,1,34802,3,1,7,OR
M,23,4,34739,2,0,3,NY
F,24,4,34736,3,0,2,NY
M,69,4,34730,2,1,4,ND
F,63,4,34696,2,0,3,NV
F,44,4,34696,2,0,3,NV
M,50,1,34680,4,1,8,ND
M,30,4,34679,1,1,8,MI
F,58,1,34664,2,0,3,NH
M,56,2,34658,2,0,6,FL
F,62,1,34656,2,1,11,MI
M,67,1,34656,2,0,2,IN
F,67,1,34648,2,0,5,UT
M,58,4,34645,1,0,3,MN
F,32,4,34643,1,1,14,ID
F,64,1,34635,0,0,3,OK
F,59,4,34627,2,0,3,ME
M,38,4,34610,3,1,12,PA
F,50,1,34603,2,0,4,NH
M,61,1,34600,4,0,3,CA
M,60,1,34600,3,0,3,KS
M,49,1,34591,3,0,2,MA
F,32,4,34589,2,0,3,IA
M,53,1,34559,4,0,3,NV
M,24,4,34543,5,0,4,WY
M,32,4,34532,2,1,8,ID
M,44,1,34512,0,1,8,OR
F,88,4,34454,4,0,4,WY
F,61,1,34454,5,0,2,PA
M,57,1,34437,2,1,11,MD
M,66,2,34434,1,0,3,NY
F,50,4,34423,2,0,2,UT
F,41,4,34416,5,1,11,ND
F,62,4,34386,2,0,3,MS
F,58,4,34354,2,0,4,VT
F,29,1,34346,2,0,1,UT
M,34,4,34343,3,0,1,IL
F,83,4,34324,2,0,6,AZ
F,66,1,34322,4,0,5,NC
M,38,1,34312,1,1,12,MD
M,28,1,34310,5,0,3,IA
M,53,4,34289,2,0,3,SC
F,65,1,34278,1,1,7,PA
M,39,4,34240,2,0,1,FL
F,33,1,34232,4,0,4,SD
F,58,4,34229,2,0,3,TN
F,62,1,34227,1,0,3,ME
F,47,1,34223,3,0,3,TX
F,66,4,34205,3,0,2,KS
M,38,4,34204,5,0,3,MD
F,40,1,34197,2,0,3,OK
M,38,1,34197,0,1,12,OR
M,51,4,34144,2,0,2,NJ
F,42,1,34117,3,0,4,DE
M,36,4,34103,0,1,11,MI
M,45,1,34086,2,0,3,SC
M,69,1,34085,2,0,2,FL
F,41,1,34075,0,1,11,ND
F,35,4,34065,1,1,12,ID
F,40,1,34063,1,0,3,ME
M,43,1,34054,4,0,2,TX
F,37,1,34043,1,0,4,OR
M,46,1,34026,2,0,2,SD
M,37,4,33983,1,1,9,PA
M,60,4,33976,4,0,2,ID
M,49,4,33970,2,0,3,MS
F,31,1,33969,2,1,8,MD
F,42,4,33965,2,1,11,PA
F,48,4,33925,0,1,6,MI
F,83,1,33924,3,0,3,CA
F,65,4,33919,1,0,3,OR
F,46,4,33913,5,0,1,NV
M,53,4,33909,2,1,8,PA
F,33,4,33907,3,0,3,MI
M,34,1,33862,0,1,10,MD
M,50,1,33827,2,0,3,CT
M,34,2,33826,3,0,1,MI
M,36,1,33802,0,1,12,ID
M,41,4,33792,3,1,11,PA
M,21,4,33782,2,0,4,NV
M,66,1,33732,2,1,10,ID
M,34,1,33727,2,0,2,MS
F,22,1,33696,5,0,0,NC
F,36,4,33672,3,1,7,ID
M,76,4,33669,3,0,2,OH
F,38,1,33661,2,0,5,ME
M,50,2,33653,0,0,3,UT
M,47,4,33642,4,1,10,WA
F,61,4,33629,1,0,4,MN
M,57,4,33623,2,0,4,MT
F,20,4,33618,4,0,3,TN
F,81,4,33617,1,0,3,UT
F,26,1,33606,1,1,13,ID
F,48,1,33605,1,1,9,WA
F,71,1,33591,0,0,2,ME
M,33,1,33574,5,0,4,IA
F,64,4,33563,2,0,3,NM
F,64,4,33535,2,0,4,NM
M,37,4,33526,2,0,4,TX
F,65,2,33521,3,0,3,AZ
M,52,1,33517,2,0,3,IN
M,47,2,33462,5,0,5,MS
M,47,1,33461,2,0,3,AK
F,47,1,33426,0,1,10,ID
F,39,1,33416,1,0,3,NV
M,87,4,33397,0,1,9,MD
M,73,4,33395,5,0,2,RI
F,53,1,33384,2,0,3,WV
F,62,1,33339,2,1,15,CA
F,44,1,33337,5,1,11,ID
F,53,4,33285,3,0,3,NV
F,67,1,33263,1,0,2,WY
F,74,4,33254,2,0,1,SD
M,68,4,33238,4,0,3,ME
F,25,4,33196,0,1,13,OR
M,74,4,33188,4,0,2,WY
F,43,4,33180,3,0,3,AK
F,28,1,33159,2,1,10,MI
F,74,1,33158,2,0,5,KY
M,46,4,33133,3,0,3,KS
F,43,4,33128,2,0,4,DC
F,49,1,33115,5,0,2,WY
M,83,4,33100,5,0,4,MD
F,64,1,33061,2,1,11,MD
M,35,1,33054,5,0,3,GA
F,87,4,33052,2,0,2,KS
F,22,4,33028,4,0,2,NM
F,26,4,33025,0,1,3,MI
F,64,1,32998,5,0,2,NJ
M,38,1,32993,0,1,7,CA
M,24,1,32990,2,0,4,DC
M,40,4,32960,1,0,4,NV
M,48,1,32944,1,1,9,OR
M,21,2,32930,2,0,3,RI
F,39,4,32921,1,0,3,WY
M,23,1,32897,3,0,4,WA
F,51,1,32894,1,0,3,IN
M,71,1,32890,1,1,11,MI
F,23,1,32884,3,0,1,CA
F,33,1,32865,2,0,3,OR
M,68,1,32856,5,0,2,OR
M,30,1,32853,5,0,3,WV
F,29,4,32843,5,0,3,NE
F,62,1,32840,3,0,5,NC
M,49,4,32794,2,0,3,NH
M,56,1,32790,1,0,4,AZ
F,48,1,32733,4,0,4,PA
F,62,1,32729,4,0,3,CA
F,59,1,32722,2,0,3,OH
F,48,4,32709,5,0,3,WV
M,57,4,32689,3,0,3,ID
F,36,4,32684,1,0,3,IA
M,45,2,32684,1,0,3,RI
M,46,1,32684,3,0,2,TX
M,27,1,32655,3,1,12,PA
F,41,4,32642,5,0,1,OR
F,52,4,32607,2,0,4,OK
F,67,4,32603,5,0,3,NC
M,58,4,32600,2,0,5,NE
M,50,4,32507,2,0,4,ME
F,48,4,32497,2,0,1,SC
M,54,1,32489,4,0,3,NJ
M,67,1,32450,3,0,2,NY
M,85,4,32434,4,0,3,FL
F,67,1,32424,2,0,3,MO
M,40,4,32421,1,0,2,PA
F,88,1,32415,5,0,4,MD
F,28,4,32414,2,0,2,OH
F,43,4,32400,1,1,11,ND
F,48,4,32399,2,0,3,TX
M,47,4,32331,5,0,2,AL
F,47,4,32290,2,0,2,WI
M,22,4,32287,3,1,12,CA
F,67,4,32268,2,0,2,MS
M,45,4,32257,1,1,12,CA
M,56,1,32256,2,1,15,PA
F,50,4,32251,2,0,4,IA
M,65,4,32239,4,0,4,ME
M,32,1,32236,2,0,3,AZ
M,66,4,32234,1,0,3,NV
M,56,4,32220,3,0,3,OH
F,44,4,32219,2,0,3,NH
M,28,4,32218,2,1,10,MD
M,59,4,32213,2,0,4,GA
M,39,4,32211,1,0,4,DE
M,31,2,32205,2,0,2,AZ
M,35,4,32191,3,0,1,MS
M,60,1,32177,2,0,2,ID
F,67,1,32143,2,0,2,VA
M,59,1,32131,3,0,3,AK
F,33,1,32117,0,1,9,MD
M,48,4,32113,2,0,2,VA
M,52,1,32096,1,0,2,MN
M,42,1,32088,1,0,2,AZ
F,45,1,32073,2,0,3,VA
M,26,4,32050,3,0,4,IL
M,50,4,32039,1,1,10,CA
F,51,1,32038,2,0,2,DE
F,44,1,32013,1,1,10,PA
F,38,4,31999,3,0,3,VT
M,74,4,31997,5,0,1,NJ
F,32,4,31968,1,1,12,ID
F,77,1,31964,3,0,1,ID
F,75,4,31959,5,0,3,WY
F,67,1,31944,3,0,4,NH
F,52,1,31944,1,0,4,MT
F,50,1,31923,4,0,4,AR
F,47,4,31921,2,0,2,MA
M,74,1,31920,1,0,2,ND
M,31,1,31915,3,0,2,NY
F,44,1,31905,1,1,11,CA
M,40,4,31898,1,0,4,NM
F,21,1,31855,2,1,11,MD
M,41,1,31838,3,0,4,IA
F,48,1,31832,3,1,10,ID
F,27,4,31792,2,0,8,NJ
F,81,1,31790,2,0,3,CT
M,27,1,31779,1,1,13,OR
F,37,4,31777,4,0,4,MI
F,43,1,31772,2,0,4,OH
M,36,1,31768,4,0,3,ME
F,68,4,31742,2,0,2,IA
F,38,4,31735,0,1,10,ID
F,62,1,31728,1,0,3,AL
F,65,1,31727,0,1,15,OR
M,30,4,31698,4,0,5,UT
M,69,1,31656,2,1,11,ND
F,25,1,31652,2,0,5,LA
F,33,1,31647,0,1,8,ID
M,24,1,31646,1,0,5,MD
M,59,4,31646,0,0,3,NJ
F,39,1,31615,3,1,11,PA
F,41,4,31613,0,1,7,WA
F,81,1,31607,0,0,2,IN
F,41,1,31601,2,0,4,TX
F,32,4,31586,4,0,2,DC
M,78,1,31576,2,0,2,NJ
F,37,1,31576,3,0,1,ID
M,72,4,31549,0,1,8,OR
M,51,2,31547,4,0,2,AL
M,38,4,31539,2,0,5,MO
M,59,4,31535,2,1,10,PA
M,73,1,31532,2,0,1,MI
F,24,4,31490,0,1,15,PA
M,46,4,31482,0,1,6,ID
M,71,4,31451,2,1,12,OR
M,37,4,31441,2,0,2,WY
F,54,1,31390,0,0,4,VT
F,78,2,31378,5,0,4,TN
M,53,1,31374,4,0,4,AZ
M,34,4,31363,1,0,3,WA
M,69,1,31361,0,0,3,NC
F,50,1,31351,1,0,2,AK
F,62,2,31334,2,0,3,IL
M,49,1,31328,5,0,3,CA
M,41,1,31323,4,0,4,NM
F,47,4,31279,5,0,3,MS
F,40,4,31265,2,1,11,ND
F,72,1,31264,0,1,12,WA
F,48,1,31255,2,0,2,WY
M,47,4,31240,5,0,3,AR
F,26,1,31231,1,1,8,WA
M,30,4,31203,2,0,3,SC
M,20,2,31195,4,1,9,MI
M,30,2,31194,5,0,3,SC
F,45,4,31180,2,1,5,MD
M,85,4,31165,1,0,4,ME
M,33,1,31081,2,0,3,MT
M,38,1,31061,4,0,2,SD
M,51,4,31054,2,0,4,WV
M,80,4,31043,5,0,4,IL
F,50,1,31009,3,0,1,WY
F,28,1,31003,4,1,8,WA
M,28,1,30996,1,1,10,PA
M,31,1,30995,1,0,3,WI
F,37,1,30989,2,0,3,AR
M,56,1,30982,3,0,5,MO
M,48,2,30952,1,0,1,OK
M,60,4,30949,2,0,3,OK
F,51,1,30944,2,1,11,MI
M,52,1,30943,2,0,2,WY
F,64,1,30939,1,0,3,WY
F,80,1,30922,1,1,15,WA
M,47,1,30918,3,0,3,MI
F,43,4,30916,0,1,12,ND
M,78,1,30902,1,0,3,SC
M,54,4,30888,3,1,9,ND
F,42,4,30886,3,0,4,KY
M,40,4,30883,2,0,3,MN
M,71,1,30875,2,1,10,PA
F,78,4,30858,2,0,2,KY
M,75,4,30852,5,0,2,NM
F,66,4,30844,1,0,3,IA
M,31,2,30826,3,1,9,MD
M,56,4,30816,5,0,2,TX
M,41,4,30814,4,0,3,PA
M,43,4,30808,3,0,2,KY
M,38,1,30804,1,1,8,WA
M,35,1,30783,3,0,3,CT
M,24,1,30774,2,1,6,ID
M,56,1,30762,5,0,3,LA
M,25,2,30757,0,1,14,OR
F,56,1,30730,2,1,13,ND
F,67,1,30724,4,0,4,OH
M,28,4,30675,2,0,3,WI
M,72,4,30657,3,1,11,MI
F,35,4,30600,2,0,3,CA
F,59,4,30596,2,0,5,MD
M,48,1,30564,0,0,2,AL
F,45,1,30522,4,0,1,CT
F,51,1,30506,1,0,5,RI
M,33,1,30487,0,1,9,OR
M,25,4,30486,5,0,2,WA
F,25,4,30477,4,0,1,CT
M,32,1,30452,2,0,3,NC
M,40,1,30449,2,0,3,OH
M,32,1,30445,1,1,16,ID
F,28,1,30430,0,0,4,LA
F,56,1,30421,4,0,2,DE
M,55,1,30413,2,0,2,TN
M,79,1,30384,4,0,3,AZ
F,79,4,30383,3,0,2,TX
M,51,4,30374,3,0,4,IL
M,49,1,30369,2,0,3,TX
F,25,1,30303,1,1,11,MI
M,43,2,30292,1,1,18,PA
F,44,1,30272,2,0,2,VT
F,43,1,30254,0,0,3,AZ
F,38,1,30247,2,0,2,CO
M,31,4,30240,4,0,2,ND
F,30,4,30234,5,1,12,CA
F,44,1,30234,2,1,9,MD
F,37,4,30218,2,0,3,OH
F,42,1,30209,0,1,6,OR
M,61,1,30203,1,0,1,MA
M,89,1,30158,2,0,3,MD
F,78,1,30150,1,1,8,PA
M,38,4,30147,2,0,2,DE
F,43,1,30144,4,0,4,FL
M,31,1,30139,0,1,7,PA
M,66,4,30137,2,0,4,DE
M,44,4,30135,2,0,3,SD
F,76,4,30133,3,0,3,WY
M,26,1,30118,2,1,8,ND
M,53,4,30095,0,0,3,MT
F,33,1,30082,1,0,3,WI
F,50,4,30067,1,0,4,AK
M,26,4,30060,0,1,12,MD
M,63,1,30059,2,0,5,IL
F,42,1,29989,5,0,2,AL
M,48,1,29969,2,0,2,MS
M,37,4,29935,2,0,4,FL
M,80,1,29910,2,0,4,MD
M,69,1,29909,0,0,5,GA
F,41,4,29900,3,0,5,TX
F,84,1,29894,3,0,5,IA
M,45,1,29792,1,1,6,OR
M,48,1,29789,1,0,6,NH
F,36,1,29779,1,0,3,WI
F,68,4,29757,5,0,4,MO
F,78,2,29754,3,0,4,WI
F,41,1,29742,4,0,4,NC
M,79,1,29741,2,0,3,AR
M,47,1,29720,2,0,1,TX
M,42,1,29716,1,0,2,NJ
F,64,1,29707,2,0,5,MA
M,77,2,29698,4,0,4,GA
F,56,1,29677,4,0,2,OK
F,49,1,29631,2,0,4,NJ
F,47,1,29597,1,1,11,OR
F,39,4,29597,0,0,2,WV
F,36,4,29593,2,1,10,ID
M,39,1,29575,2,0,3,CA
M,26,1,29555,2,1,8,MD
F,68,4,29543,1,0,4,MT
F,76,4,29534,2,1,11,OR
F,59,4,29437,1,0,3,SD
F,23,2,29416,3,1,6,PA
F,58,4,29411,0,1,6,ID
M,26,1,29406,5,0,8,RI
M,27,4,29404,2,1,11,WA
M,65,4,29400,1,0,3,AK
F,49,1,29381,4,0,4,NC
M,54,4,29378,1,0,4,UT
M,58,1,29376,1,0,3,WA
F,80,4,29354,0,1,10,MI
M,58,4,29325,2,0,3,WI
F,47,1,29325,1,0,2,ME
M,64,4,29303,2,0,1,VT
M,28,2,29240,1,1,10,MI
F,69,2,29231,1,1,6,ID
M,32,4,29220,0,1,12,ND
M,64,1,29216,3,0,4,MO
F,31,1,29202,2,0,2,MD
M,32,1,29194,4,0,3,CA
M,74,1,29183,1,1,9,PA
F,21,1,29177,5,0,4,OK
M,86,1,29172,1,0,5,GA
M,49,2,29155,0,0,3,MS
F,43,4,29106,1,1,7,ND
F,77,1,29101,5,0,3,MD
M,62,1,29071,4,0,3,VT
M,44,4,29064,3,0,3,SC
M,62,4,29051,1,1,14,ND
F,51,1,29043,4,0,3,FL
M,74,4,28963,5,0,3,TX
M,52,1,28958,4,0,4,OK
M,80,4,28946,3,0,1,NV
M,47,1,28938,3,1,11,PA
M,71,1,28909,3,0,5,AL
F,41,4,28909,3,0,4,NE
F,23,1,28903,0,1,7,ID
F,44,1,28902,2,0,1,OK
M,35,4,28888,2,0,4,AZ
F,68,1,28865,4,0,5,OK
